Tank,Beaker,Fragment,Genotype,Colony,Tag,Disease,Nutrients,Temp,Treatment
4,75,D_860,D,Ditto,860,SCTLD,LN,28,LN_28_SCTLD
4,77,A_310,A,Eevee,310,SCTLD,LN,28,LN_28_SCTLD
4,78,C_531,C,Clefairy,531,SCTLD,LN,28,LN_28_SCTLD
4,79,D_861,D,Ditto,861,SCTLD,LN,28,LN_28_SCTLD
8,82,A_321,A,Eevee,321,SCTLD,LN,31,LN_31_SCTLD
8,83,C_532,C,Clefairy,532,SCTLD,LN,31,LN_31_SCTLD
8,84,D_862,D,Ditto,862,SCTLD,LN,31,LN_31_SCTLD
8,85,A_324,A,Eevee,324,SCTLD,HN,31,HN_31_SCTLD
8,86,C_533,C,Clefairy,533,SCTLD,HN,31,HN_31_SCTLD
8,87,D_863,D,Ditto,863,SCTLD,HN,31,HN_31_SCTLD
8,88,A_5,A,Eevee,5,SCTLD,LN,31,LN_31_SCTLD
8,89,C_512,C,Clefairy,512,SCTLD,LN,31,LN_31_SCTLD
8,90,D_864,D,Ditto,864,SCTLD,LN,31,LN_31_SCTLD
8,91,A_741,A,Eevee,741,SCTLD,HN,31,HN_31_SCTLD
8,92,C_516,C,Clefairy,516,SCTLD,HN,31,HN_31_SCTLD
8,93,D_865,D,Ditto,865,SCTLD,HN,31,HN_31_SCTLD
8,94,D_872,D,Ditto,872,SCTLD,HN,31,HN_31_SCTLD
8,95,A_742,A,Eevee,742,SCTLD,HN,31,HN_31_SCTLD
8,96,A_743,A,Eevee,743,SCTLD,LN,31,LN_31_SCTLD
